Frequency (Hz)	Level (dB)
2077.954102	-65.298859
2083.337402	-61.424908
2088.720703	-53.903263
2094.104004	-54.230618
2099.487305	-58.337044
2104.870605	-56.206753
2110.253906	-54.382439
2115.637207	-60.655464
2121.020508	-59.307716
2126.403809	-53.758080
2131.787109	-50.993870
2137.170410	-57.283119
2142.553711	-54.662323
2147.937012	-55.745026
2153.320313	-69.180923
2158.703613	-61.676739
2164.086914	-63.723858
2169.470215	-59.739113
2174.853516	-59.629662
2180.236816	-62.194103
2185.620117	-58.262203
2191.003418	-60.062737
2196.386719	-58.479172
2201.770020	-56.636509
2207.153320	-55.435249
2212.536621	-59.567326
2217.919922	-70.627274
2223.303223	-60.337460
2228.686523	-50.853382
2234.069824	-49.819412
2239.453125	-53.286491
2244.836426	-56.929539
2250.219727	-53.510170
2255.603027	-48.055237
2260.986328	-47.623203
2266.369629	-51.761208
2271.752930	-52.109249
2277.136230	-46.670868
2282.519531	-46.185997
2287.902832	-50.191479
2293.286133	-54.406101
2298.669434	-46.993313
2304.052734	-42.342442
2309.436035	-46.435818
2314.819336	-45.512650
2320.202637	-47.904049
2325.585938	-61.017529
2330.969238	-49.177505
2336.352539	-49.162136
2341.735840	-55.089100
2347.119141	-49.057606
2352.502441	-48.036270
2357.885742	-55.144901
2363.269043	-54.863285
2368.652344	-50.716797
2374.035645	-47.856182
2379.418945	-48.662106
2384.802246	-53.162064
2390.185547	-50.841202
2395.568848	-46.187149
2400.952148	-45.850883
2406.335449	-50.520187
2411.718750	-59.104752
2417.102051	-51.697262
2422.485352	-48.534512
2427.868652	-47.175514
2433.251953	-49.939606
2438.635254	-60.456200
2444.018555	-52.338955
2449.401855	-48.312645
2454.785156	-49.895374
2460.168457	-51.966709
2465.551758	-55.955490
2470.935059	-51.046722
2476.318359	-46.419117
2481.701660	-46.684254
2487.084961	-45.032784
2492.468262	-46.027481
2497.851563	-58.555611
2503.234863	-57.497150
2508.618164	-46.210770
2514.001465	-50.947979
2519.384766	-52.923687
2524.768066	-51.605484
2530.151367	-48.552639
2535.534668	-46.155106
2540.917969	-46.924587
2546.301270	-56.667458
2551.684570	-50.023621
2557.067871	-38.981285
2562.451172	-38.021393
2567.834473	-40.714298
2573.217773	-44.826996
2578.601074	-53.351116
2583.984375	-45.742485
2589.367676	-38.472748
2594.750977	-37.376698
2600.134277	-40.356590
2605.517578	-45.945244
2610.900879	-44.056549
2616.284180	-41.872574
2621.667480	-38.314068
2627.050781	-38.259613
2632.434082	-42.098385
2637.817383	-42.843586
2643.200684	-37.186798
2648.583984	-36.758305
2653.967285	-38.068649
2659.350586	-35.344616
2664.733887	-31.034883
2670.117188	-35.267990
2675.500488	-37.747910
2680.883789	-38.910679
2686.267090	-39.756241
2691.650391	-48.515202
2697.033691	-39.013226
2702.416992	-41.090717
2707.800293	-49.380875
2713.183594	-62.165867
2718.566895	-38.870449
2723.950195	-36.068691
2729.333496	-35.607979
2734.716797	-36.524414
2740.100098	-44.256817
2745.483398	-46.928768
2750.866699	-37.859596
2756.250000	-34.262222
2761.633301	-35.242287
2767.016602	-38.857090
2772.399902	-41.092213
2777.783203	-42.383209
2783.166504	-35.342079
2788.549805	-33.593178
2793.933105	-35.955017
2799.316406	-39.938972
2804.699707	-50.460224
2810.083008	-38.010845
2815.466309	-34.826485
2820.849609	-34.325920
2826.232910	-35.391418
2831.616211	-38.099072
2836.999512	-25.761232
2842.382813	-27.791861
2847.766113	-36.083054
2853.149414	-31.704271
2858.532715	-30.529203
2863.916016	-37.077541
2869.299316	-32.758041
2874.682617	-54.446575
2880.065918	-36.323925
2885.449219	-35.492176
2890.832520	-31.639057
2896.215820	-32.423840
2901.599121	-33.161774
2906.982422	-38.412453
2912.365723	-47.048737
2917.749023	-36.366058
2923.132324	-34.329662
2928.515625	-36.188236
2933.898926	-36.294224
2939.282227	-38.318951
2944.665527	-48.031376
2950.048828	-44.791775
2955.432129	-40.140408
2960.815430	-35.891163
2966.198730	-35.034710
2971.582031	-42.814014
2976.965332	-44.930622
2982.348633	-41.287098
2987.731934	-36.561188
2993.115234	-38.069237
2998.498535	-50.304333
3003.881836	-45.306305
3009.265137	-40.060703
3014.648438	-38.064735
3020.031738	-41.413437
3025.415039	-37.026283
3030.798340	-41.084820
3036.181641	-60.953651
3041.564941	-62.118591
3046.948242	-47.755741
3052.331543	-45.273556
3057.714844	-46.063274
3063.098145	-43.274242
3068.481445	-46.805737
3073.864746	-65.090591
3079.248047	-47.651459
3084.631348	-45.461887
3090.014648	-48.015968
3095.397949	-59.138351
3100.781250	-53.449982
3106.164551	-52.980259
3111.547852	-54.139828
3116.931152	-52.145969
3122.314453	-46.026703
3127.697754	-42.030670
3133.081055	-43.829735
3138.464355	-44.388027
3143.847656	-47.118313
3149.230957	-59.147049
3154.614258	-49.552773
3159.997559	-48.664330
3165.380859	-56.193348
3170.764160	-48.528282
3176.147461	-54.118496
3181.530762	-43.430897
3186.914063	-40.913200
3192.297363	-48.039047
3197.680664	-45.465153
3203.063965	-46.322708
3208.447266	-43.969368
3213.830566	-47.774471
3219.213867	-56.371464
3224.597168	-47.549374
3229.980469	-50.257137
3235.363770	-65.556976
3240.747070	-68.176758
3246.130371	-59.130146
3251.513672	-65.549171
3256.896973	-64.641060
3262.280273	-53.501190
3267.663574	-51.136997
3273.046875	-56.596348
3278.430176	-56.486187
3283.813477	-54.608067
3289.196777	-52.484833
3294.580078	-53.267132
3299.963379	-45.950085
3305.346680	-48.990028
3310.729980	-50.310459
3316.113281	-52.945755
