Frequency (Hz)	Level (dB)
2029.504395	-58.420753
2034.887695	-61.899246
2040.270996	-61.362923
2045.654297	-57.303013
2051.037598	-59.406528
2056.420898	-63.453625
2061.804199	-57.242062
2067.187500	-55.775223
2072.570801	-57.669071
2077.954102	-60.654461
2083.337402	-60.125042
2088.720703	-57.919807
2094.104004	-60.970947
2099.487305	-60.792072
2104.870605	-60.169899
2110.253906	-59.728455
2115.637207	-62.112152
2121.020508	-59.281933
2126.403809	-53.861813
2131.787109	-51.987091
2137.170410	-53.104656
2142.553711	-57.444664
2147.937012	-59.631882
2153.320313	-58.721798
2158.703613	-61.123001
2164.086914	-61.267525
2169.470215	-58.219044
2174.853516	-58.427589
2180.236816	-60.191444
2185.620117	-58.425117
2191.003418	-57.737373
2196.386719	-61.448071
2201.770020	-60.377705
2207.153320	-55.950703
2212.536621	-56.054897
2217.919922	-58.420250
2223.303223	-56.654148
2228.686523	-54.034588
2234.069824	-54.673393
2239.453125	-57.718658
2244.836426	-64.090958
2250.219727	-58.736137
2255.603027	-54.378853
2260.986328	-55.229446
2266.369629	-56.914108
2271.752930	-55.807404
2277.136230	-52.967197
2282.519531	-53.485954
2287.902832	-55.374111
2293.286133	-60.363747
2298.669434	-51.037365
2304.052734	-45.247746
2309.436035	-43.969769
2314.819336	-45.451015
2320.202637	-49.680164
2325.585938	-52.023842
2330.969238	-51.196751
2336.352539	-52.914555
2341.735840	-54.556797
2347.119141	-49.830360
2352.502441	-48.393921
2357.885742	-51.350563
2363.269043	-53.579716
2368.652344	-49.744476
2374.035645	-48.881329
2379.418945	-50.825886
2384.802246	-54.848755
2390.185547	-52.930141
2395.568848	-48.866753
2400.952148	-48.426800
2406.335449	-52.268444
2411.718750	-58.264484
2417.102051	-56.288193
2422.485352	-52.671444
2427.868652	-51.162891
2433.251953	-53.399734
2438.635254	-59.935043
2444.018555	-55.784218
2449.401855	-54.542290
2454.785156	-59.207325
2460.168457	-56.194210
2465.551758	-56.953056
2470.935059	-57.676346
2476.318359	-50.815323
2481.701660	-46.340694
2487.084961	-44.805424
2492.468262	-46.249630
2497.851563	-52.819462
2503.234863	-55.175289
2508.618164	-47.887562
2514.001465	-47.607376
2519.384766	-52.986076
2524.768066	-54.148296
2530.151367	-47.417492
