Frequency (Hz)	Level (dB)
1752.264404	-54.784073
1754.956055	-50.078575
1757.647705	-47.599461
1760.339355	-48.129757
1763.031006	-51.258308
1765.722656	-55.581573
1768.414307	-58.512676
1771.105957	-58.003067
1773.797607	-56.777618
1776.489258	-55.897125
1779.180908	-53.987930
1781.872559	-51.288170
1784.564209	-50.348099
1787.255859	-52.182453
1789.947510	-55.734955
1792.639160	-57.131573
1795.330811	-56.195679
1798.022461	-56.425335
1800.714111	-59.072006
1803.405762	-60.308960
1806.097412	-61.028530
1808.789063	-62.611610
1811.480713	-60.901241
1814.172363	-58.141380
1816.864014	-57.150166
1819.555664	-57.160801
1822.247314	-58.338631
1824.938965	-60.531548
1827.630615	-62.041302
1830.322266	-60.430660
1833.013916	-53.251995
1835.705566	-49.856441
1838.397217	-49.745697
1841.088867	-51.960705
1843.780518	-55.382233
1846.472168	-57.034012
1849.163818	-57.540501
1851.855469	-60.051056
1854.547119	-59.087719
1857.238770	-55.139858
1859.930420	-52.918358
1862.622070	-52.903656
1865.313721	-54.645992
1868.005371	-55.743961
1870.697021	-54.360325
1873.388672	-55.939560
1876.080322	-65.538956
1878.771973	-56.313553
1881.463623	-50.615250
1884.155273	-48.924923
1886.846924	-49.477386
1889.538574	-51.455685
1892.230225	-51.354721
1894.921875	-50.779343
1897.613525	-52.911236
1900.305176	-57.489433
1902.996826	-59.969719
1905.688477	-57.647640
1908.380127	-57.180088
1911.071777	-55.636719
1913.763428	-52.236324
1916.455078	-50.175186
1919.146729	-49.933075
1921.838379	-51.246414
1924.530029	-54.071918
1927.221680	-58.808205
1929.913330	-65.575424
1932.604980	-62.565430
1935.296631	-55.071712
1937.988281	-50.976826
1940.679932	-48.746273
1943.371582	-47.507416
1946.063232	-46.949429
1948.754883	-47.044777
1951.446533	-48.218525
1954.138184	-51.095238
1956.829834	-52.564949
1959.521484	-50.971039
1962.213135	-48.491497
1964.904785	-45.415668
1967.596436	-43.909172
1970.288086	-44.522652
1972.979736	-47.372120
1975.671387	-53.400791
1978.363037	-63.084156
1981.054688	-62.317657
1983.746338	-56.934849
1986.437988	-54.784672
1989.129639	-54.441681
1991.821289	-53.329773
1994.512939	-53.892883
1997.204590	-57.339817
1999.896240	-61.179344
2002.587891	-60.494080
2005.279541	-56.107082
2007.971191	-52.764767
2010.662842	-52.181110
2013.354492	-54.070499
2016.046143	-56.737278
2018.737793	-57.498032
2021.429443	-60.896832
2024.121094	-60.186413
2026.812744	-52.296467
2029.504395	-48.653214
2032.196045	-48.226147
2034.887695	-50.876400
2037.579346	-53.440975
2040.270996	-52.000904
2042.962646	-53.408844
2045.654297	-60.468712
2048.345947	-56.457470
2051.037598	-52.291599
2053.729248	-51.831738
2056.420898	-51.714478
2059.112549	-50.844883
2061.804199	-51.021290
2064.495850	-52.433891
2067.187500	-54.509510
2069.879150	-58.533321
2072.570801	-58.878742
2075.262451	-53.640659
2077.954102	-51.909092
2080.645752	-53.203819
2083.337402	-56.816490
2086.029053	-55.011604
2088.720703	-52.207726
2091.412354	-52.605671
2094.104004	-55.387466
2096.795654	-60.954300
2099.487305	-83.346954
2102.178955	-66.042305
2104.870605	-63.496429
2107.562256	-56.371899
2110.253906	-51.098408
2112.945557	-48.296936
2115.637207	-47.801487
2118.328857	-49.440868
2121.020508	-51.646862
2123.712158	-51.186504
2126.403809	-49.710300
2129.095459	-50.167667
2131.787109	-54.939934
2134.478760	-60.325066
2137.170410	-51.842899
2139.862061	-49.219543
2142.553711	-48.865334
2145.245361	-49.117226
2147.937012	-49.491154
2150.628662	-49.778625
2153.320313	-49.039200
2156.011963	-48.286388
2158.703613	-48.631634
2161.395264	-50.482071
2164.086914	-54.089039
2166.778564	-57.554077
2169.470215	-56.341728
2172.161865	-53.110706
2174.853516	-49.481003
2177.545166	-46.744320
2180.236816	-45.746159
2182.928467	-46.972298
2185.620117	-50.081093
2188.311768	-53.451817
2191.003418	-58.733231
2193.695068	-63.431484
2196.386719	-55.975182
2199.078369	-52.472298
2201.770020	-50.236347
2204.461670	-49.298767
2207.153320	-50.962120
2209.844971	-56.613377
2212.536621	-64.519531
2215.228271	-63.786797
2217.919922	-57.776684
2220.611572	-52.097805
2223.303223	-49.643543
2225.994873	-49.456036
2228.686523	-51.346592
2231.378174	-54.081696
2234.069824	-54.584393
2236.761475	-55.236446
2239.453125	-58.885670
2242.144775	-60.351803
2244.836426	-55.379601
2247.528076	-54.049709
2250.219727	-55.031582
2252.911377	-55.863468
2255.603027	-55.877110
2258.294678	-55.679638
2260.986328	-55.184444
2263.677979	-56.879505
2266.369629	-63.886631
2269.061279	-61.633873
2271.752930	-55.388947
2274.444580	-54.585014
2277.136230	-56.648766
2279.827881	-53.409027
2282.519531	-49.249531
2285.211182	-47.262955
2287.902832	-47.302979
2290.594482	-49.926125
2293.286133	-57.072723
2295.977783	-79.627541
2298.669434	-67.202988
2301.361084	-64.783264
2304.052734	-55.279903
2306.744385	-51.701950
2309.436035	-49.762775
2312.127686	-48.384796
2314.819336	-48.531204
2317.510986	-50.332714
2320.202637	-52.116486
2322.894287	-52.430199
2325.585938	-53.107014
2328.277588	-55.056896
2330.969238	-55.715160
2333.660889	-59.293621
2336.352539	-68.899155
2339.044189	-60.969074
2341.735840	-54.175461
2344.427490	-49.450165
2347.119141	-47.448128
2349.810791	-46.359859
2352.502441	-45.229408
2355.194092	-44.470913
2357.885742	-44.046211
2360.577393	-44.409153
2363.269043	-46.543293
2365.960693	-50.540508
2368.652344	-51.400566
2371.343994	-50.834000
2374.035645	-54.348209
2376.727295	-57.229774
2379.418945	-51.875023
2382.110596	-48.749916
2384.802246	-44.416119
2387.493896	-40.081524
2390.185547	-37.796432
2392.877197	-37.893764
2395.568848	-40.711563
2398.260498	-46.815628
2400.952148	-48.911472
2403.643799	-46.120499
2406.335449	-46.605061
2409.027100	-51.400806
2411.718750	-49.095982
2414.410400	-42.263393
2417.102051	-39.351551
2419.793701	-39.353722
2422.485352	-42.214188
2425.177002	-47.619701
2427.868652	-50.555546
2430.560303	-51.733070
2433.251953	-56.278831
2435.943604	-58.406075
2438.635254	-53.821056
2441.326904	-50.284874
2444.018555	-46.758377
2446.710205	-43.666973
2449.401855	-42.173191
2452.093506	-42.224957
2454.785156	-43.655434
2457.476807	-46.894115
2460.168457	-51.985355
2462.860107	-57.751762
2465.551758	-67.724731
2468.243408	-60.433407
2470.935059	-50.942177
2473.626709	-45.645283
2476.318359	-41.601715
2479.010010	-39.286568
2481.701660	-39.169708
2484.393311	-41.087780
2487.084961	-44.490677
2489.776611	-47.059322
2492.468262	-44.646172
2495.159912	-42.779827
2497.851563	-45.683113
2500.543213	-55.716557
2503.234863	-42.670250
2505.926514	-38.636448
2508.618164	-38.363358
2511.309814	-40.274502
2514.001465	-41.657192
2516.693115	-41.413445
2519.384766	-40.527065
2522.076416	-39.300411
2524.768066	-38.533573
2527.459717	-38.914665
2530.151367	-40.027313
2532.843018	-41.817551
2535.534668	-47.089283
2538.226318	-50.608414
2540.917969	-43.933548
2543.609619	-41.987808
2546.301270	-40.706451
2548.992920	-38.645248
2551.684570	-36.546242
2554.376221	-34.908283
2557.067871	-33.962120
2559.759521	-33.848133
2562.451172	-34.390709
2565.142822	-35.387959
2567.834473	-36.799492
2570.526123	-37.524796
2573.217773	-37.510368
2575.909424	-40.006775
2578.601074	-54.660812
2581.292725	-40.887245
2583.984375	-35.486954
2586.676025	-34.994640
2589.367676	-38.443108
2592.059326	-39.147709
2594.750977	-34.990288
2597.442627	-34.015110
2600.134277	-33.880512
2602.825928	-30.602047
2605.517578	-27.434217
2608.209229	-26.374990
2610.900879	-27.637892
2613.592529	-31.754543
2616.284180	-41.349705
2618.975830	-38.374851
2621.667480	-33.645782
2624.359131	-32.988895
2627.050781	-34.445053
2629.742432	-36.213341
2632.434082	-35.215294
2635.125732	-33.564571
2637.817383	-33.845329
2640.509033	-36.521736
2643.200684	-39.733654
2645.892334	-39.579292
2648.583984	-38.274857
2651.275635	-37.744022
2653.967285	-38.892738
2656.658936	-42.047729
2659.350586	-45.521889
2662.042236	-51.443516
2664.733887	-52.200352
2667.425537	-43.813969
2670.117188	-41.261955
2672.808838	-40.336555
2675.500488	-38.946613
2678.192139	-37.209503
2680.883789	-36.494644
2683.575439	-37.190079
2686.267090	-37.556435
2688.958740	-37.285210
2691.650391	-39.548893
2694.342041	-48.571438
2697.033691	-44.256142
2699.725342	-40.250801
2702.416992	-42.004658
2705.108643	-46.603161
2707.800293	-48.320332
2710.491943	-47.775303
2713.183594	-41.108582
2715.875244	-37.487907
2718.566895	-36.965786
2721.258545	-38.847931
2723.950195	-42.913284
2726.641846	-48.325310
2729.333496	-50.701420
2732.025146	-48.518238
2734.716797	-46.280884
2737.408447	-46.648449
2740.100098	-49.246292
2742.791748	-47.213928
2745.483398	-43.590324
2748.175049	-41.833744
2750.866699	-41.133804
2753.558350	-40.926128
2756.250000	-41.588509
2758.941650	-42.695545
2761.633301	-42.676884
2764.324951	-41.085842
2767.016602	-39.534306
2769.708252	-39.210938
2772.399902	-40.301083
2775.091553	-41.917530
2777.783203	-43.355770
2780.474854	-46.202244
2783.166504	-53.976650
2785.858154	-51.457714
2788.549805	-46.276413
2791.241455	-46.031010
2793.933105	-48.778973
2796.624756	-51.150654
2799.316406	-48.071213
2802.008057	-45.842930
2804.699707	-45.821159
2807.391357	-46.654171
2810.083008	-45.894844
2812.774658	-45.166451
2815.466309	-46.516769
2818.157959	-48.976482
2820.849609	-49.583996
2823.541260	-49.347569
2826.232910	-50.525501
2828.924561	-52.398903
2831.616211	-52.138229
2834.307861	-49.513832
2836.999512	-45.797085
2839.691162	-43.256985
2842.382813	-43.051262
2845.074463	-45.441151
2847.766113	-50.197708
2850.457764	-55.252827
2853.149414	-56.853779
2855.841064	-58.225685
2858.532715	-58.902367
2861.224365	-60.691952
2863.916016	-67.567055
2866.607666	-58.128407
2869.299316	-51.353157
2871.990967	-48.639011
2874.682617	-48.140591
2877.374268	-49.237858
2880.065918	-51.725235
2882.757568	-54.534634
2885.449219	-56.904953
2888.140869	-58.041771
2890.832520	-56.706169
2893.524170	-56.636303
