Frequency (Hz)	Level (dB)
13888.916016	-176.807938
13910.449219	-178.149231
13931.982422	-177.528625
13953.515625	-177.906174
13975.048828	-177.560303
13996.582031	-177.585419
14018.115234	-177.304001
14039.648438	-177.247498
14061.181641	-176.011276
14082.714844	-176.857956
14104.248047	-176.384186
14125.781250	-178.517242
14147.314453	-178.571350
14168.847656	-178.467316
14190.380859	-176.613342
14211.914063	-176.314987
14233.447266	-176.826797
14254.980469	-178.962387
14276.513672	-178.833099
14298.046875	-178.810501
14319.580078	-177.839996
14341.113281	-176.540756
14362.646484	-170.692352
14384.179688	-170.904358
14405.712891	-174.048904
14427.246094	-173.892838
14448.779297	-174.220642
14470.312500	-175.969330
14491.845703	-172.170853
14513.378906	-168.933060
14534.912109	-167.506714
14556.445313	-171.262787
14577.978516	-176.225082
14599.511719	-177.101593
14621.044922	-176.916016
14642.578125	-177.106171
14664.111328	-178.895828
14685.644531	-178.352859
14707.177734	-175.883118
14728.710938	-176.518127
14750.244141	-175.478912
14771.777344	-179.646759
14793.310547	-176.810104
14814.843750	-179.059601
14836.376953	-178.349152
14857.910156	-176.516632
14879.443359	-173.415222
14900.976563	-177.115875
14922.509766	-176.653900
14944.042969	-179.150253
14965.576172	-176.334030
14987.109375	-175.911102
15008.642578	-178.505341
15030.175781	-177.899567
15051.708984	-174.655334
15073.242188	-176.435684
15094.775391	-174.287292
15116.308594	-174.739960
15137.841797	-174.632126
15159.375000	-176.369064
15180.908203	-174.027298
15202.441406	-174.628662
15223.974609	-173.563171
15245.507813	-175.386078
15267.041016	-175.736115
15288.574219	-176.559296
15310.107422	-177.209549
15331.640625	-177.574753
15353.173828	-177.353027
15374.707031	-179.142059
15396.240234	-176.384354
15417.773438	-179.479660
15439.306641	-176.474365
15460.839844	-176.783142
15482.373047	-177.041122
15503.906250	-177.383575
15525.439453	-176.783676
15546.972656	-177.869446
15568.505859	-175.312225
15590.039063	-179.312531
15611.572266	-177.266083
15633.105469	-178.496719
15654.638672	-177.789612
15676.171875	-177.080765
15697.705078	-177.403961
15719.238281	-177.514313
15740.771484	-174.041000
15762.304688	-171.277435
15783.837891	-168.855453
15805.371094	-169.295471
15826.904297	-171.955994
15848.437500	-174.823654
15869.970703	-174.020050
15891.503906	-173.549286
15913.037109	-170.997818
15934.570313	-169.928665
15956.103516	-171.594406
15977.636719	-174.929565
15999.169922	-176.418610
16020.703125	-178.243240
16042.236328	-177.598450
16063.769531	-177.078369
16085.302734	-177.030991
16106.835938	-177.929276
16128.369141	-175.988800
16149.902344	-177.912781
16171.435547	-177.706955
16192.968750	-175.665894
16214.501953	-174.910278
16236.035156	-175.581299
16257.568359	-174.390991
16279.101563	-177.930206
16300.634766	-177.329514
16322.167969	-176.400879
16343.701172	-177.251434
16365.234375	-177.708389
16386.767578	-176.099762
16408.300781	-177.876801
16429.833984	-176.523727
16451.367188	-175.304138
16472.900391	-174.420822
16494.433594	-175.201721
16515.966797	-175.406860
16537.500000	-176.298538
16559.033203	-175.566605
16580.566406	-176.124512
16602.099609	-173.777786
16623.632813	-176.789871
16645.166016	-177.399612
16666.699219	-179.092316
16688.232422	-176.940765
16709.765625	-177.637665
16731.298828	-179.178970
16752.832031	-177.992035
16774.365234	-176.642670
16795.898438	-177.740662
16817.431641	-176.119537
16838.964844	-175.408463
16860.498047	-175.964401
16882.031250	-177.266312
16903.564453	-177.625351
16925.097656	-176.649460
16946.630859	-177.259842
16968.164063	-177.762772
16989.697266	-177.075684
17011.230469	-178.543472
17032.763672	-177.931519
17054.296875	-178.084702
17075.830078	-176.838242
17097.363281	-176.074844
17118.896484	-169.775650
17140.429688	-167.958664
17161.962891	-171.170700
17183.496094	-173.452866
17205.029297	-178.531448
17226.562500	-172.659683
17248.095703	-171.539597
17269.628906	-168.026123
17291.162109	-165.711578
17312.695313	-168.758240
17334.228516	-173.780640
17355.761719	-177.617783
17377.294922	-177.217712
17398.828125	-176.570297
17420.361328	-177.628052
17441.894531	-177.701263
17463.427734	-177.352631
17484.960938	-176.750565
17506.494141	-179.359894
17528.027344	-178.277649
17549.560547	-176.010971
17571.093750	-175.470322
17592.626953	-177.673203
17614.160156	-175.170547
17635.693359	-175.402573
17657.226563	-177.381012
17678.759766	-176.686905
17700.292969	-178.505615
17721.826172	-177.613739
17743.359375	-175.798874
17764.892578	-178.616623
17786.425781	-178.726898
17807.958984	-175.889435
17829.492188	-175.886215
17851.025391	-174.433517
17872.558594	-174.148621
17894.091797	-173.564880
17915.625000	-176.207336
17937.158203	-176.723816
17958.691406	-176.702225
17980.224609	-172.986206
18001.757813	-176.453613
18023.291016	-176.155960
18044.824219	-177.377579
18066.357422	-177.087555
18087.890625	-179.090164
18109.423828	-179.414474
18130.957031	-177.576355
18152.490234	-177.133850
18174.023438	-176.956802
18195.556641	-176.348618
18217.089844	-180.003052
18238.623047	-176.491165
18260.156250	-176.357132
18281.689453	-176.225876
18303.222656	-176.749283
18324.755859	-176.193329
18346.289063	-178.191742
18367.822266	-175.852661
18389.355469	-178.147949
18410.888672	-178.266434
18432.421875	-177.341888
18453.955078	-177.773819
18475.488281	-179.805344
18497.021484	-173.742416
18518.554688	-172.338348
18540.087891	-168.747650
18561.621094	-169.683533
18583.154297	-174.506790
18604.687500	-175.761047
18626.220703	-173.283813
18647.753906	-173.380280
18669.287109	-171.932632
18690.820313	-171.959885
18712.353516	-173.719742
18733.886719	-176.941040
18755.419922	-177.300720
18776.953125	-177.244690
18798.486328	-178.459198
18820.019531	-180.192078
18841.552734	-177.650009
18863.085938	-175.912354
18884.619141	-176.677948
18906.152344	-176.636505
18927.685547	-175.460678
18949.218750	-176.704605
18970.751953	-174.457031
18992.285156	-176.119827
19013.818359	-175.342133
19035.351563	-175.266693
19056.884766	-178.670258
19078.417969	-176.485229
19099.951172	-176.389511
19121.484375	-176.145844
19143.017578	-178.938141
19164.550781	-175.740646
19186.083984	-175.807877
19207.617188	-173.969528
19229.150391	-173.897446
19250.683594	-177.122650
19272.216797	-175.526352
19293.750000	-178.409988
19315.283203	-176.025742
19336.816406	-174.431900
19358.349609	-174.135254
19379.882813	-175.685287
19401.416016	-177.806519
19422.949219	-176.292313
19444.482422	-175.553284
19466.015625	-172.454361
